@Comp_Define_ID,COMP1, COMP2(AG), COMP3(AA),COMP4,COMP5,
@ID,TIME,DV,AMT,MDV,CMT,DOSE
14,0,0,8.055853921,1,1,3
14,0.25,0.025319273,0,0,2,3
14,0.25,0.10020849,0,0,3,3
14,0.5,0.032344536,0,0,2,3
14,0.5,0.10170673,0,0,3,3
14,0.75,0.03791345,0,0,2,3
14,0.75,0.079413907,0,0,3,3
14,1,0.033642143,0,0,2,3
14,1,0.061724766,0,0,3,3
14,1.5,0.024505735,0,0,2,3
14,1.5,0.046544128,0,0,3,3
14,2,0.023047269,0,0,2,3
14,2,0.03045727,0,0,3,3
14,4,0.014750258,0,0,2,3
14,4,0.040637669,0,0,3,3
14,8,0.00375658,0,0,2,3
14,8,0.004509931,0,0,3,3
15,0,0,8.055853921,1,1,3
15,0.25,0.049919046,0,0,2,3
15,0.25,0.15939128,0,0,3,3
15,0.5,0.07502011,0,0,2,3
15,0.5,0.11649685,0,0,3,3
15,0.75,0.033174993,0,0,2,3
15,0.75,0.054830339,0,0,3,3
15,1,0.019495461,0,0,2,3
15,1,0.022828716,0,0,3,3
15,1.5,0.013913149,0,0,2,3
15,1.5,0.015609385,0,0,3,3
15,2,0.009182904,0,0,2,3
15,2,0.013973991,0,0,3,3
15,4,0.004076837,0,0,2,3
15,4,0.008630629,0,0,3,3
15,8,0,0,1,2,3
15,8,0,0,1,3,3
16,0,0,8.055853921,1,1,3
16,0.25,0.03371392,0,0,2,3
16,0.25,0.070508045,0,0,3,3
16,0.5,0.053764071,0,0,2,3
16,0.5,0.056146051,0,0,3,3
16,0.75,0.03592499,0,0,2,3
16,0.75,0.033467296,0,0,3,3
16,1,0.027137543,0,0,2,3
16,1,0.024535203,0,0,3,3
16,1.5,0.029471238,0,0,2,3
16,1.5,0.022735066,0,0,3,3
16,2,0.032858423,0,0,2,3
16,2,0.032965705,0,0,3,3
16,4,0.010810988,0,0,2,3
16,4,0.005697451,0,0,3,3
16,8,0.001947458,0,0,2,3
16,8,0.001039463,0,0,3,3
17,0,0,8.055853921,1,1,3
17,0.25,0.027148278,0,0,2,3
17,0.25,0.09553025,0,0,3,3
17,0.5,0.081400123,0,0,2,3
17,0.5,0.080228762,0,0,3,3
17,0.75,0.041585022,0,0,2,3
17,0.75,0.040479293,0,0,3,3
17,1,0.046942646,0,0,2,3
17,1,0.063533443,0,0,3,3
17,1.5,0.036704605,0,0,2,3
17,1.5,0.044552738,0,0,3,3
17,2,0.04055251,0,0,2,3
17,2,0.059031098,0,0,3,3
17,4,0.010979991,0,0,2,3
17,4,0.023752867,0,0,3,3
17,8,0.002728567,0,0,2,3
17,8,0.002453183,0,0,3,3
18,0,0,8.055853921,1,1,3
18,0.25,0.036948697,0,0,2,3
18,0.25,0.070881867,0,0,3,3
18,0.5,0.050351854,0,0,2,3
18,0.5,0.05437415,0,0,3,3
18,0.75,0.055011201,0,0,2,3
18,0.75,0.035608143,0,0,3,3
18,1,0.064740308,0,0,2,3
18,1,0.027763563,0,0,3,3
18,1.5,0.055932613,0,0,2,3
18,1.5,0.030790901,0,0,3,3
18,2,0.046273865,0,0,2,3
18,2,0.047612194,0,0,3,3
18,4,0.00764089,0,0,2,3
18,4,0.016925964,0,0,3,3
18,8,0.001391277,0,0,2,3
18,8,0.000519919,0,0,3,3
