@Comp_Define,COMP1(AR), COMP2(AG), COMP3(AA),COMP4,COMP5,
@ID,TIME,DV,AMT,MDV,CMT,DOSE
13,0,0,1.611123195,1,1,3
13,0,0,0,1,2,3
13,0,0,0,1,3,3
13,2,5.2896496,0,0,1,3
13,2,0.40813909,0,0,2,3
13,2,1.4602272,0,0,3,3
13,5,2.1867828,0,0,1,3
13,5,0.18984986,0,0,2,3
13,5,1.3732504,0,0,3,3
13,10,1.6589864,0,0,1,3
13,10,0.2370724,0,0,2,3
13,10,1.3221,0,0,3,3
13,15,1.039902,0,0,1,3
13,15,0.18484332,0,0,2,3
13,15,1.0738652,0,0,3,3
13,20,0,0,1,1,3
13,20,0,0,1,2,3
13,20,0,0,1,3,3
13,30,0.30821778,0,0,1,3
13,30,0.12397819,0,0,2,3
13,30,0.7927614,0,0,3,3
13,45,0.15983956,0,0,1,3
13,45,0.061330299,0,0,2,3
13,45,0.37009937,0,0,3,3
13,60,0.078312538,0,0,1,3
13,60,0.028914441,0,0,2,3
13,60,0.16136532,0,0,3,3
13,90,0.020921823,0,0,1,3
13,90,0.008331036,0,0,2,3
13,90,0.06003495,0,0,3,3
13,120,0.011471369,0,0,1,3
13,120,0.007132312,0,0,2,3
13,120,0.027679825,0,0,3,3
14,0,0,1.611123195,1,1,3
14,0,0,0,1,2,3
14,0,0,0,1,3,3
14,2,4.1736969,0,0,1,3
14,2,0.5159566,0,0,2,3
14,2,1.3112986,0,0,3,3
14,5,2.432234,0,0,1,3
14,5,0.31416322,0,0,2,3
14,5,1.611652,0,0,3,3
14,10,1.2700561,0,0,1,3
14,10,0.27418817,0,0,2,3
14,10,1.3613109,0,0,3,3
14,15,0.77652135,0,0,1,3
14,15,0.20204948,0,0,2,3
14,15,1.019221,0,0,3,3
14,20,0.4118711,0,0,1,3
14,20,0.13339994,0,0,2,3
14,20,0.93645689,0,0,3,3
14,30,0.17584013,0,0,1,3
14,30,0.043767132,0,0,2,3
14,30,0.4828489,0,0,3,3
14,45,0.051087017,0,0,1,3
14,45,0.026637465,0,0,2,3
14,45,0.21067445,0,0,3,3
14,60,0.027607897,0,0,1,3
14,60,0.019696233,0,0,2,3
14,60,0.11679868,0,0,3,3
14,90,0.011468746,0,0,1,3
14,90,0.024616248,0,0,2,3
14,90,0.051503507,0,0,3,3
14,120,0.005013768,0,0,1,3
14,120,0.010695537,0,0,2,3
14,120,0.018290081,0,0,3,3
15,0,0,1.611123195,1,1,3
15,0,0,0,1,2,3
15,0,0,0,1,3,3
15,2,5.4637935,0,0,1,3
15,2,0.26161447,0,0,2,3
15,2,1.4760475,0,0,3,3
15,5,3.9053066,0,0,1,3
15,5,0.23470556,0,0,2,3
15,5,2.0920221,0,0,3,3
15,10,1.5150366,0,0,1,3
15,10,0.18627693,0,0,2,3
15,10,1.5880442,0,0,3,3
15,15,1.3804333,0,0,1,3
15,15,0.26872351,0,0,2,3
15,15,1.4339714,0,0,3,3
15,20,0.70130564,0,0,1,3
15,20,0.19215913,0,0,2,3
15,20,1.0377972,0,0,3,3
15,30,0.35247831,0,0,1,3
15,30,0.10877385,0,0,2,3
15,30,0.60981151,0,0,3,3
15,45,0.099744384,0,0,1,3
15,45,0.038899378,0,0,2,3
15,45,0.25551148,0,0,3,3
15,60,0.05542713,0,0,1,3
15,60,0.020008374,0,0,2,3
15,60,0.12271107,0,0,3,3
15,90,0.02398257,0,0,1,3
15,90,0.015076809,0,0,2,3
15,90,0.051725465,0,0,3,3
15,120,0.008289555,0,0,1,3
15,120,0.012757709,0,0,2,3
15,120,0.028453433,0,0,3,3
16,0,0,1.611123195,1,1,3
16,0,0,0,1,2,3
16,0,0,0,1,3,3
16,2,4.2058023,0,0,1,3
16,2,0.28943158,0,0,2,3
16,2,0.83811428,0,0,3,3
16,5,2.9211953,0,0,1,3
16,5,0.24877132,0,0,2,3
16,5,1.1571643,0,0,3,3
16,10,1.6163111,0,0,1,3
16,10,0.22330754,0,0,2,3
16,10,1.1057414,0,0,3,3
16,15,0.93681989,0,0,1,3
16,15,0.15497692,0,0,2,3
16,15,0.77916494,0,0,3,3
16,20,0.57028063,0,0,1,3
16,20,0.15388343,0,0,2,3
16,20,0.77562444,0,0,3,3
16,30,0.33791675,0,0,1,3
16,30,0.095018329,0,0,2,3
16,30,0.46384492,0,0,3,3
16,45,0.10766618,0,0,1,3
16,45,0.033551729,0,0,2,3
16,45,0.19386091,0,0,3,3
16,60,0.043657398,0,0,1,3
16,60,0.019833475,0,0,2,3
16,60,0.10360185,0,0,3,3
16,90,0.019071675,0,0,1,3
16,90,0.009659339,0,0,2,3
16,90,0.046618291,0,0,3,3
16,120,0.01477085,0,0,1,3
16,120,0.006282085,0,0,2,3
16,120,0.016069703,0,0,3,3
17,0,0,1.611123195,1,1,3
17,0,0,0,1,2,3
17,0,0,0,1,3,3
17,2,4.5478265,0,0,1,3
17,2,0.39062884,0,0,2,3
17,2,1.2048138,0,0,3,3
17,5,3.1254827,0,0,1,3
17,5,0.29385337,0,0,2,3
17,5,1.5121374,0,0,3,3
17,10,2.0995534,0,0,1,3
17,10,0.31643033,0,0,2,3
17,10,1.5446832,0,0,3,3
17,15,0.99982543,0,0,1,3
17,15,0.16238356,0,0,2,3
17,15,1.0184165,0,0,3,3
17,20,0.65338033,0,0,1,3
17,20,0.2039737,0,0,2,3
17,20,0.99636615,0,0,3,3
17,30,0.34256423,0,0,1,3
17,30,0.12828091,0,0,2,3
17,30,0.62960493,0,0,3,3
17,45,0.13841292,0,0,1,3
17,45,0.050818457,0,0,2,3
17,45,0.27534321,0,0,3,3
17,60,0.068563426,0,0,1,3
17,60,0.034471352,0,0,2,3
17,60,0.14602703,0,0,3,3
17,90,0.026425981,0,0,1,3
17,90,0.021192671,0,0,2,3
17,90,0.063955843,0,0,3,3
17,120,0.01153447,0,0,1,3
17,120,0.021529489,0,0,2,3
17,120,0.030167886,0,0,3,3
18,0,0,1.611123195,1,1,3
18,0,0,0,1,2,3
18,0,0,0,1,3,3
18,2,3.7243308,0,0,1,3
18,2,0.45835285,0,0,2,3
18,2,1.1602037,0,0,3,3
18,5,2.2839886,0,0,1,3
18,5,0.32417423,0,0,2,3
18,5,1.1645413,0,0,3,3
18,10,1.5043447,0,0,1,3
18,10,0.28304825,0,0,2,3
18,10,1.0611101,0,0,3,3
18,15,0.75200221,0,0,1,3
18,15,0.1354228,0,0,2,3
18,15,0.8008638,0,0,3,3
18,20,0.48727658,0,0,1,3
18,20,0.17861712,0,0,2,3
18,20,0.79364239,0,0,3,3
18,30,0.31137258,0,0,1,3
18,30,0.13962516,0,0,2,3
18,30,0.61292591,0,0,3,3
18,45,0.12313996,0,0,1,3
18,45,0.052490892,0,0,2,3
18,45,0.25152445,0,0,3,3
18,60,0.061907555,0,0,1,3
18,60,0.034343014,0,0,2,3
18,60,0.12933933,0,0,3,3
18,90,0.021030419,0,0,1,3
18,90,0.024893883,0,0,2,3
18,90,0.0527568,0,0,3,3
18,120,0.007589641,0,0,1,3
18,120,0.021923602,0,0,2,3
18,120,0.026128849,0,0,3,3
